Game Turn, Player, Boosted System, Progress
153, 4, TECH_METAL_CASTING, Unstarted
153, 7, TECH_MASS_PRODUCTION, Unstarted
153, 1, TECH_ASTRONOMY, Unstarted
154, 9, TECH_STIRRUPS, Unstarted
155, 13, TECH_SIEGE_TACTICS, Unstarted
155, 3, CIVIC_DIPLOMATIC_SERVICE, Unstarted
156, 6, TECH_BANKING, Unstarted
156, 0, CIVIC_REFORMED_CHURCH, In Progress
157, 11, TECH_MILITARY_SCIENCE, Unstarted
157, 1, CIVIC_CIVIL_ENGINEERING, Unstarted
159, 18, CIVIC_MERCENARIES, Unstarted
159, 0, TECH_CASTLES, Unstarted
160, 3, TECH_EDUCATION, In Progress
160, 3, TECH_EDUCATION, In Progress
