Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
124, Granted to Player, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 48, 8, 124
124, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IRENE_OF_ATHENS, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 120, -1, -1
124, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 8
126, Great Person Activated, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, Era TBD, 2
126, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 8
127, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 8
127, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 0
126, Great Person Activated, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, Era TBD, 2
126, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 8
127, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 8
127, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 0
129, Granted to Player, GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 60, 4, 129
129, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, -1, -1
135, Granted to Player, GREAT_PERSON_INDIVIDUAL_SUN_TZU, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, 0, 135
135, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_TIMUR, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 120, -1, -1
144, Great Person Activated, GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MARINO, GREAT_PERSON_CLASS_COMANDANTE_GENERAL, Era TBD, 4
149, Granted to Player, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, 1, 149
149, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, -1, -1
149, Great Person Activated, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, Era TBD, 1
150, Great Person Activated, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, Era TBD, 1
150, Granted to Player, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, 1, 150
150, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, -1, -1
151, Granted to Player, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, 8, 151
151, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, -1, -1
153, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 1
154, Granted to Player, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, 0, 154
154, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, -1, -1
154, Great Person Activated, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 0
155, Great Person Activated, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 8
160, Granted to Player, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, 3, 160
160, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_CHARLES_DARWIN, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 1075, -1, -1
160, Granted to Player, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, 3, 160
160, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_CHARLES_DARWIN, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 1075, -1, -1
