Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
233, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_WILLIAM_SHAKESPEARE, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 240, -1, -1
233, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MIGUEL_DE_CERVANTES, GREAT_PERSON_CLASS_WRITER, Era TBD, 1
234, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARIE_CATHERINE_D_AULNOY, GREAT_PERSON_CLASS_WRITER, Era TBD, 4
234, Great Person Activated, GREAT_PERSON_INDIVIDUAL_NICCOLO_MACHIAVELLI, GREAT_PERSON_CLASS_WRITER, Era TBD, 5
234, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MIGUEL_DE_CERVANTES, GREAT_PERSON_CLASS_WRITER, Era TBD, 1
234, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARGARET_CAVENDISH, GREAT_PERSON_CLASS_WRITER, Era TBD, 0
235, Granted to Player, GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MACGREGOR, GREAT_PERSON_CLASS_COMANDANTE_GENERAL, ERA_ANCIENT, 30, 4, 235
235, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARIE_CATHERINE_D_AULNOY, GREAT_PERSON_CLASS_WRITER, Era TBD, 4
235, Great Person Activated, GREAT_PERSON_INDIVIDUAL_NICCOLO_MACHIAVELLI, GREAT_PERSON_CLASS_WRITER, Era TBD, 5
236, Granted to Player, GREAT_PERSON_INDIVIDUAL_SIMON_BOLIVAR, GREAT_PERSON_CLASS_GENERAL, ERA_INDUSTRIAL, 436, 6, 236
236, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE, GREAT_PERSON_CLASS_GENERAL, ERA_INDUSTRIAL, 420, -1, -1
237, Granted to Player, GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE, GREAT_PERSON_CLASS_GENERAL, ERA_INDUSTRIAL, 420, 1, 237
237, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_RANI_LAKSHMIBAI, GREAT_PERSON_CLASS_GENERAL, ERA_INDUSTRIAL, 420, -1, -1
237, Granted to Player, GREAT_PERSON_INDIVIDUAL_FERDINAND_MAGELLAN, GREAT_PERSON_CLASS_ADMIRAL, ERA_RENAISSANCE, 240, 1, 237
237, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HORATIO_NELSON, GREAT_PERSON_CLASS_ADMIRAL, ERA_INDUSTRIAL, 420, -1, -1
237, Granted to Player, GREAT_PERSON_INDIVIDUAL_ADA_LOVELACE, GREAT_PERSON_CLASS_ENGINEER, ERA_INDUSTRIAL, 545, 1, 237
237, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GUSTAVE_EIFFEL, GREAT_PERSON_CLASS_ENGINEER, ERA_INDUSTRIAL, 420, -1, -1
237, Granted to Player, GREAT_PERSON_INDIVIDUAL_GUSTAVE_EIFFEL, GREAT_PERSON_CLASS_ENGINEER, ERA_INDUSTRIAL, 420, 1, 237
237, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JAMES_WATT, GREAT_PERSON_CLASS_ENGINEER, ERA_INDUSTRIAL, 420, -1, -1
237, Great Person Activated, GREAT_PERSON_INDIVIDUAL_FERDINAND_MAGELLAN, GREAT_PERSON_CLASS_ADMIRAL, Era TBD, 1
237, Great Person Activated, GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE, GREAT_PERSON_CLASS_GENERAL, Era TBD, 1
237, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ADA_LOVELACE, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 1
237, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, Era TBD, 1
238, Granted to Player, GREAT_PERSON_INDIVIDUAL_JOHN_SPILSBURY, GREAT_PERSON_CLASS_MERCHANT, ERA_INDUSTRIAL, 545, 1, 238
238, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JOHN_JACOB_ASTOR, GREAT_PERSON_CLASS_MERCHANT, ERA_INDUSTRIAL, 420, -1, -1
238, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JOHN_SPILSBURY, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 1
238, Granted to Player, GREAT_PERSON_INDIVIDUAL_JAMES_WATT, GREAT_PERSON_CLASS_ENGINEER, ERA_INDUSTRIAL, 420, 0, 238
238, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ALVAR_AALTO, GREAT_PERSON_CLASS_ENGINEER, ERA_MODERN, 855, -1, -1
240, Granted to Player, GREAT_PERSON_INDIVIDUAL_WILLIAM_SHAKESPEARE, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 240, 3, 240
240, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MARY_SHELLEY, GREAT_PERSON_CLASS_WRITER, ERA_INDUSTRIAL, 420, -1, -1
241, Granted to Player, GREAT_PERSON_INDIVIDUAL_DONATELLO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, 5, 241
241, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_REMBRANDT_VAN_RIJN, GREAT_PERSON_CLASS_ARTIST, ERA_INDUSTRIAL, 420, -1, -1
242, Great Person Activated, GREAT_PERSON_INDIVIDUAL_DONATELLO, GREAT_PERSON_CLASS_ARTIST, Era TBD, 5
