Game Turn, Realism, Total CO2, CO2 Bldgs, CO2 Projects, CO2 Routes, CO2 Units, Deforestation, ClimateChange, Volcanoes (Total), NW Volcanoes, Volcanoes (Active), Eruptions, Floodable Rivers, Floods, NaturalWonderEruptions
82, ERUPTION, Severity=0, Catoca Volcano, Volcano at: (30 - 15), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 4
83, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 4, 11, 10, 0
83, ENHANCED TILES, At plot: 3617, 3713,
83, STORM, Severity = 1, Gradient Dust Storm, Center at: (65 - 37), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 1
84, ENHANCED TILES, At plot: 3713, 3809,
84, STORM, Severity = 1, Gradient Dust Storm, Center at: (62 - 39), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 1
84, STORM MOVEMENT, 3713,3712,3807,3903,3806,
84, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 4, 11, 10, 0
85, STORM, Severity = 1, Gradient Dust Storm, Center at: (63 - 41), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
85, STORM MOVEMENT, 3902,3997,3998,3999,
85, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 4, 11, 10, 0
85, STORM, Severity = 1, Gradient Dust Storm, Center at: (63 - 41), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
85, STORM MOVEMENT, 3902,3997,3998,3999,
85, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 4, 11, 10, 0
86, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 4, 12, 10, 0
86, FLOOD, Severity = 0, Damietta River, Floodplain at: (42 - 35), Tiles Damaged = 2, Pop Lost = 0, Units Killed = 0, Fertility Added = 2
87, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 4, 12, 11, 0
87, ONEOFF, Severity = 1, Meteor Shower, Center at: (39 - 16), Tiles Damaged = 0
88, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 4, 12, 11, 0
88, FLOOD, Severity = 2, Bengawan Solo River, Floodplain at: (27 - 39), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 2
89, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 4, 12, 12, 0
90, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 4, 12, 12, 0
91, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 4, 12, 12, 0
91, ERUPTION, Severity=2, Catoca Volcano, Volcano at: (30 - 15), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 9
92, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 12, 0
92, STORM, Severity = 1, Category-4 Hurricane, Center at: (10 - 44), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
93, STORM, Severity = 1, Category-4 Hurricane, Center at: (13 - 46), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
93, STORM MOVEMENT, 4330,4331,4428,4332,4429,
93, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 12, 0
94, STORM, Severity = 1, Category-4 Hurricane, Center at: (15 - 44), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
94, STORM MOVEMENT, 4333,4238,4334,4239,
94, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 12, 0
94, ENHANCED TILES, At plot: 3281, 3281,
94, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
95, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
95, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 12, 0
96, ENHANCED TILES, At plot: 3185, 3185,
96, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
96, ENHANCED TILES, At plot: 3376, 3376,
96, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
96, ENHANCED TILES, At plot: 3281, 3281,
96, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
96, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 12, 0
96, FLOOD, Severity = 0, Struma River, Floodplain at: (61 - 38), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 3
97, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
97, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
97, ENHANCED TILES, At plot: 3473, 3473,
97, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
97, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
97, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 13, 0
98, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
98, ENHANCED TILES, At plot: 3185, 3185,
98, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
98, ENHANCED TILES, At plot: 3376, 3376,
98, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
98, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
98, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 13, 0
99, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
99, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
99, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
99, ENHANCED TILES, At plot: 3473, 3473,
99, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
99, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 13, 0
100, ENHANCED TILES, At plot: 3281, 3281,
100, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
100, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
100, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
100, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
100, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
100, ONEOFF, Severity = 1, Meteor Shower, Center at: (39 - 28), Tiles Damaged = 0
101, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
101, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
101, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
101, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
101, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
101, DROUGHT, Severity = 0, Major Drought, Center at: (56 - 44), Tiles Damaged = 0
102, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 34), Tiles Damaged = 0
102, ENHANCED TILES, At plot: 3185, 3185,
102, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
102, ENHANCED TILES, At plot: 3376, 3376,
102, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
102, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
102, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
103, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
103, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
103, ENHANCED TILES, At plot: 3473, 3473,
103, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
103, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
103, DROUGHT, Severity = 1, Withering Drought, Center at: (39 - 20), Tiles Damaged = 4
104, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 33), Tiles Damaged = 0
104, ONEOFF, Severity = 1, Forest Fire, Center at: (16 - 35), Tiles Damaged = 0
104, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
104, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
105, ONEOFF, Severity = 1, Forest Fire, Center at: (17 - 36), Tiles Damaged = 0
105, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
106, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
